施設名,連絡先,住所,記事,twitterで検索
ひふみ養蜂園,Tel 0470-22-2353,〒294-0047　千葉県館山市八幡５１５,はちみつソフトクリーム
おさかな倶楽部,電話： 0470-33-2512,〒299-2404 千葉県南房総市富浦町多田良１２５４,アブラボウズ
館山駅,,〒294-0045 千葉県館山市北条,JR内房線
館山基地,電話： 0470-22-3191,〒294-0033 千葉県館山市宮城無番地,海上自衛隊
洲埼灯台,,〒294-0316 千葉県館山市洲崎１０４３,南房総国定公園
ぴーまん,TEL 0470(47)4446,〒299-2703　千葉県南房総市和田町仁我浦114,くじら料理
日東バス,TEL　:　0470-22-0111,〒 294-0045　千葉県館山市北条2201-1,時刻表
館山城,TEL 0470-22-8854,〒294-0038 千葉県館山市上真倉2237-1,博物館
大房岬,,〒299-2404 千葉県南房総市富浦町多田良１２１２−２９,自然公園
鋸山,,〒299-1861 千葉県富津市金谷4052-1,ロープウェー
枇杷倶楽部,電話： 0470-33-4611,〒299-2416 千葉県南房総市富浦町青木１２３−１,道の駅
海ほたる,,〒292-0071 千葉県木更津市中島 地先 海ほたる,パーキングエリア
館山いちご狩りセンター,,千葉県 館山市 山本257-3,営業時間 9時～15時
沖ノ島,,〒294-0035 千葉県館山市館山１５６３,公園
大福寺,電話： 0470-27-2247,〒294-0056 千葉県館山市船形８３５,アイキャッチ
館山ファミリーパーク,電話： 0470-28-1110,〒294-0221 千葉県館山市布沼１２１０,植物園
